player,elo_global,elo_clay,elo_hard,elo_grass
Tsitsipas S.,1665.3140438399723,1826.9080349646435,1680.6003167209915,1561.7887092717708
Hanfmann Y.,1664.71360606396,1568.77929387099,1611.187062885053,1475.8725198732259
Machac T.,1663.6198731853297,1537.955437135836,1692.7030236002863,1515.6136233145126
Thompson J.,1662.6471974497217,1425.1289368284733,1675.1507521459516,1647.7453469379454
Gonzalez F.,1661.815867567412,1748.0847143718197,1683.8346288523182,1661.3778533374411
Monaco J.,1660.744844708484,1678.355976256735,1601.9910704595432,1524.8942441795593
Mahut N.,1657.1774568198,1495.7127659585879,1586.1720300080533,1650.5215883990331
Bonzi B.,1656.3405312475493,1472.7957945185076,1640.3691893700357,1497.8219088283392
Melzer J.,1654.888204497508,1576.5677682841588,1617.2946824461328,1631.4211478678706
Bautista Agut R.,1650.026735342495,1574.0054873775034,1538.263265489435,1675.7669721418943
Kiefer N.,1649.2206081430122,1589.5338705719557,1690.780244704583,1579.016273287287
Mpetshi G.,1645.5094748758224,1496.521799135395,1626.8860839067363,1526.6891027727788
Altmaier D.,1645.3828197514288,1539.6343502121856,1608.298583438437,1431.8969737467498
Philippoussis M.,1642.6043043710088,1503.2187086344643,1465.603629786683,1730.683523121733
Etcheverry T.,1639.802943939806,1594.195189373187,1620.6978853058285,1426.365710448987
Majchrzak K.,1637.6147160382877,1467.1484820143382,1579.7068369736214,1564.3219859350652
Cazaux A.,1635.7605106078447,1517.0734848357822,1570.156365482474,1511.5268938184615
Mmoh M.,1635.1161666365215,1459.8760225450003,1647.1406041665177,1483.7553730127788
Van De Zandschulp B.,1634.8647764737107,1543.7359217256865,1617.1991657945239,1533.2130856382585
Herbert P.H,1633.4047914899147,1512.2096109393422,1606.1501288122681,1500.0
Almagro N.,1633.2193425458497,1669.482682921704,1594.4161189868505,1531.33367782007
Wu Y.,1633.064441312373,1490.9758829110758,1638.6629540090069,1471.276612765199
De Jong J.,1632.605073661689,1579.4530058556875,1553.264523617285,1465.7150174189596
Monfils G.,1629.7080002039104,1557.8595685537477,1700.5965016639211,1593.5867617634815
Opelka R.,1628.8122573050782,1533.12662245301,1631.2516063086962,1543.291950399231
Simon G.,1626.0138617467528,1521.247109807534,1602.841324766144,1545.011063077243
Novak J.,1625.1283080736753,1572.5068698458454,1652.4614091403953,1529.5602350337679
Ruusuvuori E.,1624.8137180129952,1465.3140679721234,1637.5443119272707,1541.0913312698412
Molcan A.,1623.3432854004363,1632.715183487314,1563.222706710864,1496.5685445613617
Chardy J.,1621.4954193917624,1553.138956995313,1702.068516771822,1509.6453089661431
Evans D.,1620.337190851571,1449.3317229981155,1591.5277963667816,1540.7514268577
Watanuki Y.,1619.8943839856063,1511.8921102915092,1584.1930204286487,1524.668874759027
Muller A.,1618.9188217293456,1579.5801898600973,1569.3473838123393,1498.824737077558
Medjedovic H.,1616.844760816113,1499.0668498229008,1595.3041448433146,1480.7823311770017
Hernych J.,1616.052783865692,1450.647204896492,1549.518925853861,1546.630917895791
Carreno Busta P.,1615.332963328946,1623.9283766412152,1636.2433999330121,1449.6823595092105
Shang J.,1614.9603052573889,1457.4602788020848,1586.2905597941524,1540.9232663713394
Michelsen A.,1612.4795506322198,1446.7399875196493,1614.8384834201051,1572.1569699407241
Dent T.,1611.7729734896554,1444.170615631697,1605.9392120240623,1528.0709271322614
Darderi L.,1609.7047779146433,1691.8043026691475,1428.523643160854,1499.75458150648
Bolelli S.,1609.6622883226705,1595.5831748795279,1514.1421257485827,1587.7008281451756
Kecmanovic M.,1608.352589634489,1554.9639839263925,1586.0087451778961,1577.3631612782867
Baghdatis M.,1606.019833732954,1432.545816386894,1617.3117261715327,1574.6526957689264
Anderson K.,1605.7633387158537,1654.422212625192,1570.993363835286,1815.6018870668454
Acasuso J.,1605.7319386427037,1638.7182376616424,1518.8005061962072,1314.9550235623738
Giron M.,1605.2862450911437,1493.9252370596116,1577.0621784829602,1607.990593154985
Llodra M.,1604.8664508532065,1504.412672394805,1604.8714914432621,1611.7010541989587
Pospisil V.,1604.6862362299498,1384.4150763129337,1600.140141616497,1470.4436720470708
Henman T.,1603.7663963213731,1583.6198537349023,1627.1247772507115,1681.6496006303344
Comesana F.,1602.8060518699467,1536.7722650093676,1538.1582689408447,1508.467519811651
