player,elo_global,elo_clay,elo_hard,elo_grass
Dolonc V.,1530.1976496314867,1462.2919321789284,1509.6526448210261,1538.9160213264024
Parks A.,1529.9781863016597,1476.0295245121056,1513.55326056921,1430.854515156406
Mattek-Sands B.,1529.9324908067667,1542.0193492575413,1501.6428373824808,1453.4140844428048
Date Krumm K.,1529.425620096389,1462.1222843664643,1499.2054477752718,1526.6080977964964
Starodubtseva Y.,1527.6441165393162,1540.103225848334,1450.12418617545,1486.9478788115523
Siskova A.,1527.087983164902,1515.7964831099468,1500.0,1500.0
Burdette M.,1526.95602282635,1503.6613520118535,1497.8124570233085,1474.9461493461772
Pareja J.,1526.18986493787,1526.2953544103598,1495.2963326008214,1500.0
Sierra S.,1525.5112546722949,1487.0253452924237,1476.4801725151503,1563.5734215925893
Fruhvirtova L.,1525.4012323858037,1439.1138842001087,1529.154804792131,1493.7918152287803
Pliskova Kar.,1524.7155707441868,1512.4768203210192,1500.0,1500.0
Tararudee L.,1524.6853727899986,1500.0,1521.7957748435635,1500.0
Srebotnik K.,1524.45735590492,1587.1545472116243,1507.1979991961075,1502.7844180175994
Jovanovski B.,1524.3696561634456,1459.6632228319213,1512.5710514908126,1451.1248240662403
Kozlova K.,1524.110172071085,1514.9489383449368,1457.3711074301796,1451.9225681122034
King V.,1523.8445224542081,1519.993959242518,1518.5052570721425,1334.103120719624
Badosa Gibert. P.,1523.827515888095,1500.0,1520.5013815221585,1500.0
Romero Gormaz L.,1523.81164916663,1520.4449885659758,1480.7475231420826,1500.0
Collins D.R.,1523.668378360802,1500.0,1494.461803899723,1496.774654433023
Hives Z.,1522.9602389661811,1500.0,1518.9883049302782,1475.3881258386687
Garland J.,1522.4701008141028,1504.1909364142819,1515.247543815665,1484.788361831511
Brengle M.,1521.7743126835899,1477.0555719470924,1511.423072234738,1467.1521366656543
Kuzmova V.,1521.0067354242965,1516.1020166300127,1511.913865406697,1422.141692805434
Benesova I.,1520.8693323702291,1480.720442744109,1596.2168552505339,1411.205471463755
Pohankova M.,1520.6696173368662,1500.0,1519.313840721517,1500.0
Capra B.,1520.6451032630728,1500.0,1510.6820856677004,1500.0
Mcnally C.,1520.4608812812764,1493.9298259258414,1505.8978101602902,1461.30934749921
Boserup J.,1519.8227549704782,1478.464834574469,1529.5115449548919,1508.601363145686
Timofeeva M.,1519.608618526368,1477.3443436656014,1563.017641964736,1500.0
Sonobe W.,1519.3485451640784,1500.0,1514.2341046461422,1500.0
Sakatsume H.,1518.6631062267697,1500.0,1511.505387646979,1500.0
Scheepers C.,1518.3050357433153,1576.69954848296,1416.599417136305,1438.476807686474
Davis L.,1517.8071925201812,1472.003679815834,1536.333434937609,1438.7470310818933
Pella C.,1517.7141660478542,1511.585099062199,1502.5903028924045,1500.0
Hladikova T.,1517.6988620500022,1513.4322699142879,1500.0,1500.0
Stephens S.,1517.3449048344537,1668.9508771936694,1484.4047759772398,1530.7179926444992
Fruhvirtova B.,1516.7535043145886,1472.5149175344477,1470.6275354631478,1512.1587395323925
Strycova B.,1516.610184517361,1552.23447208686,1476.6258308299305,1669.535145597633
Iatcenko P.,1515.8162350944394,1500.0,1511.6818658858424,1500.0
Arvidsson S.,1515.5859551562448,1464.3410662581414,1569.2288807547102,1385.1272187147683
Korneeva A.,1515.3776174917639,1500.0,1507.6973116107968,1500.0
Berberovic N.,1515.146060127446,1506.0167944566485,1500.0,1500.0
Snigur D.,1515.0993742339917,1488.3655792884717,1468.0359200590324,1519.8453592397273
Suarez P.,1515.0224412118466,1500.0,1516.0,1500.0
Fernandez L.,1514.7268092496017,1500.0,1510.2677843830816,1500.0
Vandeweghe C.,1514.292945074571,1537.7889273294375,1437.0017836693507,1571.216759252331
Waltert S.,1514.085201858211,1507.687642001395,1485.1423897700975,1475.9061063099298
Jankovic J.,1513.9159394974247,1577.3824958464197,1578.3803843706557,1563.6543688686947
Jones E.,1513.7376229232727,1500.0,1507.269423933983,1500.0
Torres M.,1513.669839180953,1512.0,1500.0,1500.0
Lansere S.,1513.504984887023,1505.5589350001314,1506.8697160924435,1500.0
Larcherde Brito M.,1513.2628923971713,1480.6036915736804,1378.1102830890154,1594.78331183295
Ishii S.,1513.0980332980773,1500.0,1504.7949251766522,1500.0
Anshba A.,1512.9880016662578,1499.460773236701,1505.02064311425,1500.0
Kawa K.,1512.9337963273613,1553.450678004742,1426.6211551030167,1499.2683072535926
Ishizu S.,1512.2196743049542,1500.0,1502.1922265368785,1500.0
Kulichkova E.,1511.6259892394417,1496.2753096327642,1498.3126759053964,1485.7324167556799
Duque-Marino M.,1511.5994449521124,1541.1523104409482,1442.120544164972,1474.3407810899212
Turati B.,1511.4837444203456,1500.0,1508.986589852682,1500.0
Teichmann J.B.,1511.386206095365,1480.7830449638132,1512.9464235099401,1500.0
Krejsova P.,1510.8188950120034,1500.0,1500.0,1502.0911089148135
Da Silva Fick G.,1510.7639875393563,1500.0,1509.6184103034363,1500.0
Zuger J.,1510.2096616856759,1504.0355957286183,1500.0,1500.0
Hanatani N.,1509.7446588165844,1500.0,1499.4549040654954,1500.0
Bolsova Zadoinov A.,1509.3549608194696,1490.100647158995,1500.0,1500.0
